2025-01-13 10:08:59,950 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/decode, time enabled: True, precision enabled: False
2025-01-13 10:08:59,950 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/decode_2
2025-01-13 10:08:59,950 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: decode_2
2025-01-13 10:08:59,950 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: decode
2025-01-13 10:08:59,957 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,957 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/decode_2, elapsed: 0.006808s
2025-01-13 10:08:59,957 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: decode_2
2025-01-13 10:08:59,957 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model2.decode_1
2025-01-13 10:08:59,957 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:08:59,957 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,957 | perf_monitor.time | DEBUG | Ended timing collection for inference/model2.decode_1, elapsed: 0.015438s
2025-01-13 10:08:59,957 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:08:59,957 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:08:59,957 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/fuse, time enabled: True, precision enabled: False
2025-01-13 10:08:59,958 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/fuse_1
2025-01-13 10:08:59,958 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: fuse_1
2025-01-13 10:08:59,958 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: fuse
2025-01-13 10:08:59,958 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,958 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/fuse_1, elapsed: 0.000255s
2025-01-13 10:08:59,958 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: fuse_1
2025-01-13 10:08:59,958 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:08:59,958 | perf_monitor.manager | DEBUG | Set run ID to 2
2025-01-13 10:08:59,959 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/resize, time enabled: True, precision enabled: True
2025-01-13 10:08:59,959 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/resize_1
2025-01-13 10:08:59,959 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,959 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: resize
2025-01-13 10:08:59,966 | perf_monitor.precision | DEBUG | Started precision collection for preprocessing/resize_1
2025-01-13 10:08:59,966 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,966 | perf_monitor.manager | DEBUG | Started precision collection for stage: preprocessing, tag: resize
2025-01-13 10:08:59,970 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,970 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/resize_1, elapsed: 0.010990s
2025-01-13 10:08:59,970 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,970 | perf_monitor.precision | DEBUG | Ended precision collection for preprocessing/resize_1
2025-01-13 10:08:59,970 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,970 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/augment, time enabled: True, precision enabled: False
2025-01-13 10:08:59,970 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/augment_1
